infinitive,mood,tense,form_1s,form_2s,form_3s,form_1p,form_2p,form_3p,gerund,pastparticiple
cultivar,Subjuntivo,Presente,cultive,cultives,cultive,cultivemos,cultivéis,cultiven,cultivando,cultivado
cultivar,Subjuntivo,Imperfecto,cultivara,cultivaras,cultivara,cultiváramos,cultivarais,cultivaran,cultivando,cultivado
cultivar,Subjuntivo,Futuro,cultivare,cultivares,cultivare,cultiváremos,cultivareis,cultivaren,cultivando,cultivado
cultivar,Subjuntivo,Presente perfecto,haya cultivado,hayas cultivado,haya cultivado,hayamos cultivado,hayáis cultivado,hayan cultivado,cultivando,cultivado
cultivar,Subjuntivo,Futuro perfecto,hubiere cultivado,hubieres cultivado,hubiere cultivado,hubiéremos cultivado,hubiereis cultivado,hubieren cultivado,cultivando,cultivado
cultivar,Subjuntivo,Pluscuamperfecto,hubiera cultivado,hubieras cultivado,hubiera cultivado,hubiéramos cultivado,hubierais cultivado,hubieran cultivado,cultivando,cultivado
cultivar,Imperativo Afirmativo,Presente,,cultiva,cultivad,,cultive,cultiven,cultivando,cultivado
cultivar,Imperativo Negativo,Presente,,no cultives,no cultivéis,,no cultive,no cultiven,cultivando,cultivado
cumplir,Indicativo,Presente,cumplo,cumples,cumple,cumplimos,cumplís,cumplen,cumpliendo,cumplido
cumplir,Indicativo,Futuro,cumpliré,cumplirás,cumplirá,cumpliremos,cumpliréis,cumplirán,cumpliendo,cumplido
cumplir,Indicativo,Imperfecto,cumplía,cumplías,cumplía,cumplíamos,cumplíais,cumplían,cumpliendo,cumplido
cumplir,Indicativo,Pretérito,cumplí,cumpliste,cumplió,cumplimos,cumplisteis,cumplieron,cumpliendo,cumplido
cumplir,Indicativo,Condicional,cumpliría,cumplirías,cumpliría,cumpliríamos,cumpliríais,cumplirían,cumpliendo,cumplido
cumplir,Indicativo,Presente perfecto,he cumplido,has cumplido,ha cumplido,hemos cumplido,habéis cumplido,han cumplido,cumpliendo,cumplido
cumplir,Indicativo,Futuro perfecto,habré cumplido,habrás cumplido,habrá cumplido,habremos cumplido,habréis cumplido,habrán cumplido,cumpliendo,cumplido
cumplir,Indicativo,Pluscuamperfecto,había cumplido,habías cumplido,había cumplido,habíamos cumplido,habíais cumplido,habían cumplido,cumpliendo,cumplido
cumplir,Indicativo,Pretérito anterior,hube cumplido,hubiste cumplido,hubo cumplido,hubimos cumplido,hubisteis cumplido,hubieron cumplido,cumpliendo,cumplido
cumplir,Indicativo,Condicional perfecto,habría cumplido,habrías cumplido,habría cumplido,habríamos cumplido,habríais cumplido,habrían cumplido,cumpliendo,cumplido
cumplir,Subjuntivo,Presente,cumpla,cumplas,cumpla,cumplamos,cumpláis,cumplan,cumpliendo,cumplido
cumplir,Subjuntivo,Imperfecto,cumpliera,cumplieras,cumpliera,cumpliéramos,cumplierais,cumplieran,cumpliendo,cumplido
cumplir,Subjuntivo,Futuro,cumpliere,cumplieres,cumpliere,cumpliéremos,cumpliereis,cumplieren,cumpliendo,cumplido
cumplir,Subjuntivo,Presente perfecto,haya cumplido,hayas cumplido,haya cumplido,hayamos cumplido,hayáis cumplido,hayan cumplido,cumpliendo,cumplido
cumplir,Subjuntivo,Futuro perfecto,hubiere cumplido,hubieres cumplido,hubiere cumplido,hubiéremos cumplido,hubiereis cumplido,hubieren cumplido,cumpliendo,cumplido
cumplir,Subjuntivo,Pluscuamperfecto,hubiera cumplido,hubieras cumplido,hubiera cumplido,hubiéramos cumplido,hubierais cumplido,hubieran cumplido,cumpliendo,cumplido
cumplir,Imperativo Afirmativo,Presente,,cumple,cumplid,,cumpla,cumplan,cumpliendo,cumplido
cumplir,Imperativo Negativo,Presente,,no cumplas,no cumpláis,,no cumpla,no cumplan,cumpliendo,cumplido
curar,Indicativo,Presente,curo,curas,cura,curamos,curáis,curan,curando,curado
curar,Indicativo,Futuro,curaré,curarás,curará,curaremos,curaréis,curarán,curando,curado
curar,Indicativo,Imperfecto,curaba,curabas,curaba,curábamos,curabais,curaban,curando,curado
curar,Indicativo,Pretérito,curé,curaste,curó,curamos,curasteis,curaron,curando,curado
curar,Indicativo,Condicional,curaría,curarías,curaría,curaríamos,curaríais,curarían,curando,curado
curar,Indicativo,Presente perfecto,he curado,has curado,ha curado,hemos curado,habéis curado,han curado,curando,curado
